Age,NE_duration,UI_duration
40.16666667,15.52,6.73
40.33333333,15.46,6.71
40.5,15.57,6.74
40.66666667,15.5,6.76
40.83333333,15.46,6.75
41,15.54,6.77
41.16666667,15.55,6.82
41.33333333,15.69,6.83
41.5,15.6,6.85
41.66666667,15.73,6.81
41.83333333,15.54,6.8
42.16666667,16.5,8.57
42.33333333,16.51,8.76
42.5,16.41,8.74
42.66666667,16.37,8.72
42.83333333,16.44,8.8
43,16.52,8.79
43.16666667,16.65,8.94
43.33333333,16.61,8.89
43.5,16.68,8.98
43.66666667,16.48,8.91
43.83333333,16.68,8.99
